entradas,saidas
0.372215,0.976389
0.981499,0.999945
-0.922232,9.8799e-05
-1.92627,4.30831e-09
-0.82576,0.000259212
-1.36342,1.19876e-06
0.886325,0.999859
-1.14256,1.09122e-05
-0.662587,0.00132387
1.25389,0.999996
0.0774606,0.684516
1.7387,1
-1.45242,4.92266e-07
1.03646,0.999968
0.155906,0.826219
0.201099,0.881946
-0.785485,0.000387717
1.57078,1
1.39226,0.999999
0.259597,0.930602
-1.32494,1.76138e-06
-1.1466,1.04805e-05
-0.653785,0.0014455
0.0341772,0.584621
1.48151,1
1.54312,1
-0.834753,0.000236926
-1.17614,7.79984e-06
0.675978,0.998842
-1.74628,2.60621e-08
-1.22594,4.74049e-06
-0.111125,0.247638
-1.88153,6.73951e-09
-0.456008,0.0103529
1.3917,0.999999
-0.396367,0.0186392
-1.80556,1.44068e-08
-0.444036,0.0116542
-1.54541,1.94252e-07
-1.60987,1.01954e-07
-0.80588,0.000316208
-0.436019,0.0126148
-1.83525,1.07058e-08
0.561001,0.996352
1.69269,1
1.42125,0.999999
-1.47075,4.09838e-07
-1.43712,5.73669e-07
0.0539744,0.631753
-0.782011,0.000401416
1.83417,1
1.15194,0.99999
1.02373,0.999964
0.702155,0.999108
1.88123,1
1.47203,1
-0.797679,0.000343221
0.114966,0.759449
-1.52548,2.3709e-07
-1.88232,6.68663e-09
1.07004,0.999977
-1.66597,5.81811e-08
1.49111,1
-0.317627,0.0400685
-1.41117,7.4365e-07
-0.430776,0.0132848
-1.97524,2.64027e-09
-1.75313,2.4336e-08
0.960839,0.999933
-0.0301377,0.425221
1.28728,0.999997
-0.462112,0.00974585
1.53849,1
1.08488,0.999981
-1.10919,1.52348e-05
-1.16277,8.91574e-06
0.478373,0.991705
-1.79183,1.65269e-08
1.93984,1
1.33229,0.999998
-0.373246,0.0233745
0.523731,0.994714
-0.570777,0.00330907
0.56346,0.996441
-1.35029,1.36702e-06
1.07504,0.999979
-0.533091,0.00481637
-0.259515,0.0694512
-0.540269,0.00448424
-1.02019,3.70978e-05
0.636051,0.998274
0.589748,0.997261
1.4847,1
-1.64457,7.20623e-08
0.559856,0.99631
1.06632,0.999977
-1.41891,6.88244e-07
-0.678318,0.00113139
-1.00667,4.24673e-05
-1.19924,6.19122e-06
-0.663637,0.00131006
-0.9893,5.05244e-05
-1.1526,9.86968e-06
1.04375,0.999971
0.841223,0.999778
-0.900028,0.00012336
-0.840443,0.000223824
0.640067,0.998342
-0.873228,0.000161268
-1.51779,2.56038e-07
1.83034,1
-1.16256,8.93394e-06
1.54658,1
1.54746,1
-0.933227,8.85136e-05
-1.63773,7.71627e-08
-1.59925,1.1338e-07
-1.06273,2.42438e-05
-1.35256,1.33635e-06
1.19205,0.999993
-1.58991,1.24479e-07
-1.59786,1.14966e-07
-0.802876,0.000325845
1.0364,0.999968
0.44523,0.988483
-1.86769,7.73937e-09
1.3616,0.999999
1.58018,1
-1.87168,7.43664e-09
0.388779,0.979921
1.21294,0.999995
1.83691,1
0.71416,0.999209
-0.521196,0.00542141
-0.0298965,0.425811
-0.335353,0.0337797
-0.390288,0.0197843
0.435625,0.987336
1.97004,1
-0.428178,0.0136297
-1.48881,3.42132e-07
-1.29304,2.42328e-06
-1.11717,1.40668e-05
-0.292411,0.0509744
1.1962,0.999994
1.77602,1
-1.96496,2.92599e-09
1.9305,1
0.322983,0.961942
0.563309,0.996435
0.616605,0.997905
-1.56942,1.52787e-07
-0.530411,0.00494653
1.64955,1
-1.91583,4.78272e-09
1.71384,1
-0.642802,0.00161304
-1.42841,6.25884e-07
1.24074,0.999996
-1.03774,3.11275e-05
1.04977,0.999972
1.17153,0.999992
-0.655212,0.00142505
0.919951,0.999899
-1.91654,4.74849e-09
-0.306234,0.0446875
1.08439,0.99998
1.39164,0.999999
-1.35129,1.3534e-06
1.35796,0.999999
-1.14981,1.01496e-05
-1.56328,1.62463e-07
-0.179333,0.142665
0.517815,0.994393
-0.205188,0.113862
-0.735855,0.000636718
1.26588,0.999997
0.821276,0.999729
0.825606,0.99974
0.126066,0.779139
-0.963715,6.52546e-05
1.56933,1
1.49361,1
-1.36272,1.20724e-06
0.775336,0.999571
0.299591,0.952389
-1.71116,3.70263e-08
1.67172,1
1.93432,1
-1.92487,4.36928e-09
1.10173,0.999984
-0.106136,0.25705
1.87993,1
-1.50279,2.9749e-07
1.65369,1
-0.451458,0.0108296
0.590359,0.997278
0.180782,0.859098
0.534373,0.995245
0.316574,0.959525
-0.959763,6.7885e-05
-1.58784,1.27081e-07
-0.991075,4.96357e-05
-0.571119,0.00329782
-1.17139,8.17921e-06
-1.92493,4.36632e-09
0.688156,0.998975
1.0409,0.99997
0.452795,0.989313
1.60609,1
-1.02505,3.53386e-05
-0.154953,0.175154
0.288362,0.947031
-1.13401,1.18863e-05
0.225366,0.904966
0.974779,0.999942
0.357196,0.972667
-1.27847,2.80345e-06
-1.19475,6.47547e-06
-1.78411,1.78535e-08
-1.75056,2.4971e-08
-0.0124183,0.468994
1.28299,0.999997
1.32488,0.999998
1.41815,0.999999
-1.65404,6.55541e-08
-1.89491,5.89545e-09
-1.33584,1.57952e-06
-0.808285,0.000308695
0.204798,0.885743
-0.240175,0.0830393
0.655876,0.998584
0.911747,0.99989
-0.276005,0.0595217
0.819019,0.999723
0.804842,0.99968
-0.153454,0.17733
-1.2252,4.77542e-06
-0.185004,0.135868
-1.21794,5.1351e-06
-0.151118,0.180764
1.16971,0.999992
-0.537859,0.00459314
1.1746,0.999992
-1.02104,3.67836e-05
-1.02606,3.49848e-05
1.366,0.999999
-1.72598,3.19263e-08
-1.60825,1.03621e-07
-0.55814,0.00375316
-1.87006,7.55829e-09
-0.876663,0.000155824
-1.43062,6.12218e-07
1.24512,0.999996
-1.36748,1.15112e-06
0.438411,0.98768
0.290936,0.948307
1.70629,1
-0.89035,0.000135893
-0.0651114,0.342738
-1.63425,7.98992e-08
-0.461515,0.00980361
-0.51287,0.00588937
-1.99798,2.1033e-09
-1.59617,1.16931e-07
0.464855,0.990515
-0.87367,0.000160557
1.93644,1
-1.74024,2.76851e-08
-0.541478,0.00443061
0.330044,0.964444
-1.53495,2.15665e-07
1.53712,1
1.87646,1
-0.0443242,0.390969
-1.05211,2.69618e-05
-1.34655,1.41914e-06
0.208154,0.889096
0.216696,0.897243
0.794265,0.999645
0.431083,0.986755
-0.943941,7.9521e-05
-0.615816,0.00211168
1.91983,1
-1.22828,4.63081e-06
1.10011,0.999983
1.01045,0.999959
1.87433,1
-0.59158,0.00268924
-1.3311,1.65616e-06
1.28356,0.999997
-1.89914,5.65092e-09
-1.90684,5.23234e-09
-0.587114,0.00281173
-0.754402,0.000528984
0.735268,0.99936
0.115556,0.760525
0.73633,0.999366
-0.790516,0.0003687
-1.25139,3.67507e-06
0.453955,0.989435
1.11528,0.999986
-0.912232,0.000109189
0.859499,0.999815
1.02225,0.999964
-1.8189,1.26073e-08
-1.90934,5.10324e-09
-0.444522,0.0115984
-0.935481,8.6541e-05
-0.295761,0.0493783
-1.95457,3.2466e-09
0.10916,0.748683
0.874295,0.99984
0.989485,0.99995
1.27451,0.999997
-0.76916,0.000456441
-0.188157,0.132209
0.929422,0.999908
1.57878,1
-0.595456,0.00258727
-0.169153,0.155575
-1.85969,8.38419e-09
1.44389,0.999999
0.519781,0.994502
1.62032,1
-0.387227,0.0203869
0.858815,0.999814
-1.44602,5.24824e-07
-0.982581,5.40358e-05
1.3091,0.999998
-0.683413,0.00107524
-1.18906,6.85425e-06
1.18358,0.999993
-1.58894,1.25702e-07
1.10842,0.999985
-1.93889,3.79766e-09
-0.922322,9.87104e-05
0.423771,0.985765
1.91823,1
-1.56332,1.62393e-07
1.26728,0.999997
-1.12662,1.27978e-05
-0.366742,0.0249061
-1.06574,2.35247e-05
-1.7279,3.13208e-08
-0.971151,6.05787e-05
1.22525,0.999995
-0.439845,0.012147
-1.03873,3.08201e-05
1.4516,1
0.559726,0.996306
-0.126444,0.22021
