entradas,saidas
0.372215,0.355928
0.981499,0.753714
-0.922232,-0.726952
-1.92627,-0.958431
-0.82576,-0.678193
-1.36342,-0.877184
0.886325,0.709574
-1.14256,-0.815275
-0.662587,-0.580082
1.25389,0.849371
0.0774606,0.077306
1.7387,0.940076
-1.45242,-0.896171
1.03646,0.776486
0.155906,0.154655
0.201099,0.198432
-0.785485,-0.655844
1.57078,0.917149
1.39226,0.883666
0.259597,0.253919
-1.32494,-0.868007
-1.1466,-0.816624
-0.653785,-0.574213
0.0341772,0.0341639
1.48151,0.90175
1.54312,0.912642
-0.834753,-0.68302
-1.17614,-0.826231
0.675978,0.588898
-1.74628,-0.94095
-1.22594,-0.841397
-0.111125,-0.11067
-1.88153,-0.954628
-0.456008,-0.426825
1.3917,0.883544
-0.396367,-0.376836
-1.80556,-0.947378
-0.444036,-0.416985
-1.54541,-0.913025
-1.60987,-0.923141
-0.80588,-0.667311
-0.436019,-0.410339
-1.83525,-0.950337
0.561001,0.50872
1.69269,0.934489
1.42125,0.889859
-1.47075,-0.89972
-1.43712,-0.893117
0.0539744,0.053922
-0.782011,-0.65386
1.83417,0.950232
1.15194,0.818394
1.02373,0.771381
0.702155,0.605734
1.88123,0.954602
1.47203,0.899964
-0.797679,-0.662737
0.114966,0.114462
-1.52548,-0.909648
-1.88232,-0.954698
1.07004,0.789477
-1.66597,-0.931017
1.49111,0.903528
-0.317627,-0.30736
-1.41117,-0.887742
-0.430776,-0.405969
-1.97524,-0.962236
-1.75313,-0.941731
0.960839,0.744651
-0.0301377,-0.0301286
1.28728,0.858413
-0.462112,-0.431804
1.53849,0.911866
1.08488,0.795001
-1.10919,-0.803776
-1.16277,-0.82194
0.478373,0.44494
-1.79183,-0.945953
1.93984,0.959522
1.33229,0.869808
-0.373246,-0.356827
0.523731,0.480574
-0.570777,-0.51593
0.56346,0.51054
-1.35029,-0.874121
1.07504,0.791354
-0.533091,-0.48774
-0.259515,-0.253842
-0.540269,-0.493192
-1.02019,-0.769945
0.636051,0.562205
0.589748,0.529715
1.4847,0.902344
-1.64457,-0.928109
0.559856,0.507871
1.06632,0.788072
-1.41891,-0.889372
-0.678318,-0.590425
-1.00667,-0.764383
-1.19924,-0.833422
-0.663637,-0.580779
-0.9893,-0.757064
-1.1526,-0.818615
1.04375,0.779366
0.841223,0.686456
-0.900028,-0.716312
-0.840443,-0.686044
0.640067,0.564945
-0.873228,-0.703011
-1.51779,-0.908312
1.83034,0.949859
-1.16256,-0.821874
1.54658,0.91322
1.54746,0.913366
-0.933227,-0.732095
-1.63773,-0.927155
-1.59925,-0.921556
-1.06273,-0.786707
-1.35256,-0.874655
1.19205,0.831214
-1.58991,-0.920136
-1.59786,-0.921346
-0.802876,-0.665642
1.0364,0.776462
0.44523,0.417971
-1.86769,-0.953385
1.3616,0.876764
1.58018,0.91863
-1.87168,-0.953747
0.388779,0.370307
1.21294,0.837559
1.83691,0.950498
0.71416,0.613279
-0.521196,-0.478623
-0.0298965,-0.0298876
-0.335353,-0.323322
-0.390288,-0.371609
0.435625,0.410011
1.97004,0.961849
-0.428178,-0.403798
-1.48881,-0.903105
-1.29304,-0.85992
-1.11717,-0.806582
-0.292411,-0.284353
1.1962,0.832492
1.77602,0.944266
-1.96496,-0.961467
1.9305,0.958773
0.322983,0.312202
0.563309,0.510429
0.616605,0.54876
-1.56942,-0.916934
-0.530411,-0.485695
1.64955,0.928796
-1.91583,-0.957572
1.71384,0.937117
-0.642802,-0.566804
-1.42841,-0.89134
1.24074,0.845666
-1.03774,-0.776993
1.04977,0.781717
1.17153,0.824763
-0.655212,-0.575168
0.919951,0.725874
-1.91654,-0.957632
-0.306234,-0.297008
1.08439,0.794822
