entradas,saidas
0.372215,0.998831
0.981499,1
-0.922232,-1
-1.92627,-1
-0.82576,-1
-1.36342,-1
0.886325,1
-1.14256,-1
-0.662587,-0.999996
1.25389,1
0.0774606,0.6496
1.7387,1
-1.45242,-1
1.03646,1
0.155906,0.915269
0.201099,0.964796
-0.785485,-1
1.57078,1
1.39226,1
0.259597,0.988939
-1.32494,-1
-1.1466,-1
-0.653785,-0.999996
0.0341772,0.329058
1.48151,1
1.54312,1
-0.834753,-1
-1.17614,-1
0.675978,0.999997
-1.74628,-1
-1.22594,-1
-0.111125,-0.804505
-1.88153,-1
-0.456008,-0.999781
1.3917,1
-0.396367,-0.999279
-1.80556,-1
-0.444036,-0.999722
-1.54541,-1
-1.60987,-1
-0.80588,-1
-0.436019,-0.999674
-1.83525,-1
0.561001,0.999973
1.69269,1
1.42125,1
-1.47075,-1
-1.43712,-1
0.0539744,0.492794
-0.782011,-1
1.83417,1
1.15194,1
1.02373,1
0.702155,0.999998
1.88123,1
1.47203,1
-0.797679,-1
0.114966,0.817642
-1.52548,-1
-1.88232,-1
1.07004,1
-1.66597,-1
1.49111,1
-0.317627,-0.996521
-1.41117,-1
-0.430776,-0.999638
-1.97524,-1
-1.75313,-1
0.960839,1
-0.0301377,-0.292572
1.28728,1
-0.462112,-0.999806
1.53849,1
1.08488,1
-1.10919,-1
-1.16277,-1
0.478373,0.99986
-1.79183,-1
1.93984,1
1.33229,1
-0.373246,-0.998855
0.523731,0.999944
-0.570777,-0.999978
0.56346,0.999974
-1.35029,-1
1.07504,1
-0.533091,-0.999953
-0.259515,-0.988921
-0.540269,-0.999959
-1.02019,-1
0.636051,0.999994
0.589748,0.999985
1.4847,1
-1.64457,-1
0.559856,0.999973
1.06632,1
-1.41891,-1
-0.678318,-0.999997
-1.00667,-1
-1.19924,-1
-0.663637,-0.999997
-0.9893,-1
-1.1526,-1
1.04375,1
0.841223,1
-0.900028,-1
-0.840443,-1
0.640067,0.999994
-0.873228,-1
-1.51779,-1
1.83034,1
-1.16256,-1
1.54658,1
1.54746,1
-0.933227,-1
-1.63773,-1
-1.59925,-1
-1.06273,-1
-1.35256,-1
1.19205,1
-1.58991,-1
-1.59786,-1
-0.802876,-1
1.0364,1
0.44523,0.999729
-1.86769,-1
1.3616,1
1.58018,1
-1.87168,-1
0.388779,0.999161
1.21294,1
1.83691,1
0.71416,0.999999
-0.521196,-0.999941
-0.0298965,-0.290365
-0.335353,-0.997558
-0.390288,-0.999186
0.435625,0.999671
1.97004,1
-0.428178,-0.999618
-1.48881,-1
-1.29304,-1
-1.11717,-1
-0.292411,-0.994247
1.1962,1
1.77602,1
-1.96496,-1
1.9305,1
0.322983,0.996874
0.563309,0.999974
0.616605,0.999991
-1.56942,-1
-0.530411,-0.999951
1.64955,1
-1.91583,-1
1.71384,1
