entradas,saidas
0.372215,0.591994
0.981499,0.727405
-0.922232,0.284503
-1.92627,0.127164
-0.82576,0.304542
-1.36342,0.203685
0.886325,0.708131
-1.14256,0.24185
-0.662587,0.340159
1.25389,0.777972
0.0774606,0.519355
1.7387,0.850522
-1.45242,0.189629
1.03646,0.738166
0.155906,0.538898
0.201099,0.550106
-0.785485,0.313139
1.57078,0.827894
1.39226,0.800952
0.259597,0.564537
-1.32494,0.209997
-1.1466,0.241111
-0.653785,0.342137
0.0341772,0.508543
1.48151,0.814801
1.54312,0.823917
-0.834753,0.302641
-1.17614,0.235747
0.675978,0.66284
-1.74628,0.148517
-1.22594,0.226893
-0.111125,0.472247
-1.88153,0.132213
-0.456008,0.387933
1.3917,0.800863
-0.396367,0.402185
-1.80556,0.141176
-0.444036,0.39078
-1.54541,0.17575
-1.60987,0.166606
-0.80588,0.308769
-0.436019,0.39269
-1.83525,0.137614
0.561001,0.636684
1.69269,0.844578
1.42125,0.805534
-1.47075,0.186829
-1.43712,0.191992
0.0539744,0.51349
-0.782011,0.313887
1.83417,0.862257
1.15194,0.759864
1.02373,0.735698
0.702155,0.668665
1.88123,0.867753
1.47203,0.813365
-0.797679,0.310522
0.114966,0.52871
-1.52548,0.178656
-1.88232,0.132123
1.07004,0.744605
-1.66597,0.158962
1.49111,0.816244
-0.317627,0.421254
-1.41117,0.19605
-0.430776,0.393941
-1.97524,0.121827
-1.75313,0.147653
0.960839,0.72329
-0.0301377,0.492466
1.28728,0.783686
-0.462112,0.386485
1.53849,0.823245
1.08488,0.747416
-1.10919,0.248022
-1.16277,0.238165
0.478373,0.617364
-1.79183,0.142849
1.93984,0.874335
1.33229,0.791219
-0.373246,0.407757
0.523731,0.62802
-0.570777,0.361057
0.56346,0.637253
-1.35029,0.205823
1.07504,0.745555
-0.533091,0.369796
-0.259515,0.435483
-0.540269,0.368125
-1.02019,0.26499
0.636051,0.65386
0.589748,0.643307
1.4847,0.815281
-1.64457,0.161844
0.559856,0.636419
1.06632,0.743897
-1.41891,0.194832
-0.678318,0.336637
